sl,Sloweens,sl,sl,ስሎቪኛ,السلوفانية,শ্লোভেনিয়ান,sl,eslovenu,sloven,sl,славенская,sl,sl,словенски,sl,স্লোভেনীয়,sl,sloveneg,स्लोवेनियन्,slovenski,eslovè,𑄥𑄳𑄣𑄮𑄞𑄬𑄚𑄩𑄠𑄧,словенийн,sl,sl,ᏍᎶᏫᏂᎠᏂ,سلۆڤێنی,slovinština,Slofeneg,slovensk,sl,Slowenisch,sl,sl,słowjeńšćina,sl,sl,སུ་ལོ་བི་ནི་ཡཱན་ཁ,sl,sloveniagbe,Σλοβενικά,Slovenian,slovena,esloveno,sloveeni,esloveniera,sl,اسلوونیایی,sl,sloveeni,Slovenian,slovenskt,slovène,sloven,Sloveensk,Slóivéinis,Slòbhainis,esloveno,Slowenisch,સ્લોવેનિયન,sl,sl,Basulabe,sl,סלובנית,स्लोवेनियाई,slovenski,słowjenšćina,szlovén,սլովեներեն,sloveno,Sloven,Slovịan,sl,slóvenska,sloveno,スロベニア語,sl,sl,Slovenia,სლოვენური,sl,sl,sl,slovéniu,sl,sl,словен тілі,sl,sl,sl,ស្លូវ៉ានី,ಸ್ಲೋವೇನಿಯನ್,슬로베니아어,स्लोवानियन,سلووینیَن,sl,sl,ẞloveenesch,slovenî,sl,словенче,sl,Slowenesch,sl,Slovenian Iyápi,sl,ສະໂລເວນຽນ,ئسلوڤئنیایی,slovėnų,sl,sl,sl,slovēņu,sl,sl,sl,sl,sl,sl,sl,sl,словенечки,സ്ലോവേനിയൻ,словени,sl,स्लोव्हेनियन,Slovenia,Sloven,sl,ဆလိုဗေးနီးယား,اسلوونیایی,sl,slovensk,sl,स्लोभेनियाली,Sloveens,sl,slovensk,sl,slovensk,sl,sl,Afaan Islovaniyaa,ସ୍ଲୋଭେନିଆନ୍,sl,ਸਲੋਵੇਨੀਆਈ,Slovẹ́niá Lángwej,słoweński,سلوواني,esloveno,Esloveno Simi,sloven,sl,slovenă,sl,словенский,Ikinyasiloveniya,sl,sl,sl,sl,sl,sl,islovenu,سلوويني,slovenagiella,sl,sl,sl,sl,ස්ලෝවේනියානු,slovinčina,slovenščina,sloveniakielâ,sl,Islofeeniyaan,sllovenisht,словеначки,sl,slovenska,Kislovenia,ஸ்லோவேனியன்,స్లోవేనియన్,sl,словенӣ,สโลวีเนีย,ስሎቬንኛ,slowen dili,lea fakasolovenia,Slovence,словен,sl,sl,سىلوۋېنچە,словенська,سلووینیائی,slovencha,sl,Tiếng Slovenia,sl,Sloweniš,Esloweniye,sl,sl,sl,סלאוועניש,Èdè Slovenia,斯洛維尼亞文,sl,斯洛文尼亚语,isi-Slovenian
smn,Inari Sami,smn,smn,ኢናሪ ሳሚ,الإيناري سامي,ইনাৰি ছামি,smn,inari sami,inari sami,smn,інары-саамская,smn,smn,инари-саамски,smn,ইনারি সামি,smn,sámi Inari,ईनारी सामी,inari sami,sami d’Inari,𑄃𑄨𑄚𑄢𑄨 𑄥𑄟𑄨,инари-саамийн,smn,smn,ᎢᎾᎵ ᏌᎻ,ئیناری سامی,sámština [inarijská],Inari Sami,enaresamisk,smn,Inari-Samisch,smn,smn,inari-samišćina,smn,smn,smn,smn,smn,Ινάρι Σάμι,Inari Sami,smn,sami inari,Inari saami,Inariko samiera,smn,ایناری سامی,smn,inarinsaame,Inari Sami,inari sami,same d’Inari,smn,Inari Sami,Sáimis Inari,Sàmais Inari,saami de Inari,Inari-Samisch,ઇનારી સામી,smn,smn,Inari Sami,smn,אינארי סאמי,इनारी सामी,inari sami,inari-samišćina,inari számi,ինարի սաամի,sami de Inari,Inari Sami,Inarị Samị,smn,enaresamíska,sami di Inari,イナリ・サーミ語,smn,smn,Inari Sami,ინარი-საამური,smn,smn,smn,inari sami,smn,smn,инари саам тілі,smn,smn,smn,អ៊ីណារីសាមី,ಇನಾರಿ ಸಮೀ,이나리 사미어,ईनारी सामी,اِناری سَمی,smn,smn,Inahri Lappländesch,samiya înarî,smn,инари саамиче,smn,Inari-Lappesch,smn,smn,smn,ອີນາຣິຊາມິ,ئیناری سامی,Inario samių,smn,smn,smn,Inari sāmu,smn,smn,smn,smn,smn,smn,smn,smn,инариски сами,ഇനാരി സമി,инари сами,smn,इनारी सामी,Inari Sami,Inari Sami,smn,အီနာရီ ဆာမိ,ایناری سامی,smn,enaresamisk,smn,इनारी सामी,Inari-Samisch,smn,enaresamisk,smn,enaresamisk,smn,smn,smn,ଇନାରୀ ସାମି,smn,ਇਨਾਰੀ ਸਾਮੀ,Ínárí Sámí Lángwej,inari,اناري سميع,lapão de Inari,Sami Inari Simi,sami inari,smn,sami inari,smn,инари-саамский,smn,smn,smn,smn,smn,smn,smn,sami de sos inari,اناري سامي,anárašgiella,smn,smn,smn,smn,ඉනාරි සාමි,saamčina [inarijská],inarska samijščina,anarâškielâ,smn,Inaari Saami,samishte inari,инари сами,smn,enaresamiska,Kisami cha Inari,இனாரி சமி,ఇనారి సామి,smn,инари самӣ,ซามิอีนารี,ሳሚ ኢናሪ,inari-saam dili,lea fakasami-ʻinali,İnari Laponcası,инари-саам,smn,smn,ئىنارى سامىچە,саамська інарі,اناری سامی,inari-saam,smn,Tiếng Inari Sami,smn,smn,Inari Sami,smn,smn,smn,smn,Inari Sami,伊納裡薩米文,smn,伊纳里萨米语,isi-Inari Sami
sn,Shona,sn,sn,ሾናኛ,الشونا,চোনা,sn,shona,şona,sn,шона,sn,sn,шона,sn,শোনা,sn,shona,शोना,šona,shona,𑄥𑄮𑄚,шона,sn,sn,ᏠᎾ,شۆنا,šonština,Shona,shona,sn,Shona,sn,sn,šonšćina,sn,sn,sn,sn,shonagbe,Σόνα,Shona,ŝona,shona,šona,shonera,sn,شونایی,sn,šona,Shona,shona,shona,sn,Shona,Seoinis,Shona,shona,Schhona,શોના,sn,sn,Shona,sn,שונה,शोणा,shona,šonašćina,sona,շոնա,shona,Shona,Shọna,sn,shona,shona,ショナ語,sn,sn,Shona,შონა,sn,sn,sn,sn,sn,sn,шона тілі,sn,sn,sn,សូណា,ಶೋನಾ,쇼나어,शोना,شونا,sn,sn,Schi-Schona,şonayî,sn,шонача,sn,Shona,sn,sn,sn,ໂຊນາ,شونا,šonų,sn,sn,sn,šonu,sn,sn,sn,sn,sn,sn,sn,sn,шона,ഷോണ,шона,sn,शोना,Shona,Shona,sn,ရှိုနာ,شونا,sn,shona,sn,शोना,Shona,sn,shona,sn,shona,sn,sn,sn,ଶୋନା,sn,ਸ਼ੋਨਾ,Shóna,shona,شونا,xona,Shona Simi,shona,sn,shona,sn,шона,sn,sn,sn,sn,sn,sn,sn,shona,شونا,sn,sn,sn,sn,sn,ශෝනා,šončina,šonščina,shona,chiShona,Shoona,shonisht,шона,sn,shona,Kishona,ஷோனா,షోన,sn,sn,โชนา,ሾና,şona dili,lea fakasiona,Şona dili,sn,sn,sn,شوناچە,шона,شونا,shona,sn,Tiếng Shona,sn,Shona,sn,sn,sn,sn,שאנאַ,Ṣọnà,塞內加爾文,sn,绍纳语,isiShona
so,Somalies,Sòmalì,Somalia kasa,ሱማልኛ,الصومالية,ছোমালি,Kithomali,somalín,somali,Hɔp u somàlî,самалі,Ichi Somalia,Hisomali,сомалийски,somalikan,সোমালি,so,somali,सोमाली,somalski,somali,𑄥𑄮𑄟𑄣𑄨,сомали,so,Orusomaari,ᏐᎹᎵ,سۆمالی,somálština,Somaleg,somali,Kisomali,Somali,Somaali senni,so,somališćina,so,somali,སོ་མ་ལི་ཁ,Kĩsomali,somaliagbe,Σομαλικά,Somali,somala,somalí,somaali,somaliera,ǹkɔ́bɔ somália,سومالیایی,Somalii,somali,Somali,somaliskt,somali,somal,Somalysk,Somáilis,Somàilis,somalí,Somali,સોમાલી,Kisomali,so,Somalianci,so,סומלית,सोमाली,somalski,somališćina,szomáli,սոմալիերեն,somali,Somalia,Somali,so,sómalska,somalo,ソマリ語,so,Kyisomalyi,Somalia,სომალიური,Taṣumalit,Kisomali,Chisomali,somali,Somaali senni,Kĩcumarĩ,сомали тілі,so,so,kutitab Somaliek,សូម៉ាលី,ಸೊಮಾಲಿ,소말리아어,सोमाली,سومٲلی,Kisomali,risomalí,Somahlesch,somalî,so,сомаличе,Kɨsómáali,Somali,Lusomaliya,Somali Iyápi,lisomali,ໂຊມາລີ,سوٙمالی,somaliečių,Lisomali,Kisomali,Kisomali,somāļu,so,nkʉtʉ́k ɔ́ɔ̄ lchumari,Kĩsomali,somali,Somalianina,Isomali,so,so,сомалиски,സോമാലി,сомали,so,सोमाली,Somali,Somali,Somaliya,ဆိုမာလီ,سومالیایی,Somaliǁî gowab,somali,isi-Somali,सोमाली,Somalisch,Kiɛl somaliā,somali,so,somali,Thok thomaaliani,Orusomaari,so,ସୋମାଲିଆ,so,ਸੋਮਾਲੀ,Sọmáli,somalijski,سومالي,somali,Somali Simi,somali,Igisomali,somaleză,Kisomali,сомали,Igisomali,Kyisomalyi,so,so,Kisomali,so,Ishisomali,sòmalu,سومالي,so,somali,Somaali senni,Somalïi,ⵜⴰⵙⵓⵎⴰⵍⵉⵜ,සෝමාලි,somálčina,somalščina,somalikielâ,chiSomali,Soomaali,somalisht,сомалски,so,somaliska,Kisomali,சோமாலி,సోమాలి,Kisomali,сомалӣ,โซมาลี,ሶማሊ,somali dili,lea fakasomali,Somalice,сомали,Somaali senni,Taṣumalit,سومالىچە,сомалі,صومالی,somalicha,ꖇꕮꔷ,Tiếng Somali,Kyisomalyi,Somališ,Somali [làkk],so,Olusomaliya,nusomalíɛ,סאמאַליש,Èdè ara Somalia,索馬利文,ⵜⴰⵙⵓⵎⴰⵍⵉⵜ,索马里语,isi-Somali
sq,Albanees,sq,sq,አልባንያንኛ,الألبانية,আলবেনীয়,sq,albanu,alban,sq,албанская,sq,sq,албански,sq,আলবেনীয়,sq,albaneg,आल्बेनियन्,albanski,albanès,𑄃𑄣𑄴𑄝𑄬𑄚𑄩𑄠𑄧,албанойн,sq,sq,ᎠᎵᏇᏂ,ئەڵبانی,albánština,Albaneg,albansk,sq,Albanisch,sq,sq,albanšćina,sq,sq,ཨཱལ་བེ་ནི་ཡཱན་ཁ,sq,albaniagbe,Αλβανικά,Albanian,albana,albanés,albaania,albaniera,sq,آلبانیایی,sq,albania,Albanian,albanskt,albanais,albanês,Albaneesk,Albáinis,Albàinis,albanés,Albanisch,અલ્બેનિયન,sq,sq,Albaniyanci,sq,אלבנית,अल्बानियाई,albanski,albanšćina,albán,ալբաներեն,albanese,Albania,sq,sq,albanska,albanese,アルバニア語,sq,sq,Albania,ალბანური,sq,sq,sq,albanes,sq,sq,албан тілі,sq,sq,sq,អាល់បានី,ಅಲ್ಬೇನಿಯನ್,알바니아어,आल्बेनियन्,البانِیَن,sq,sq,Albahnesch,elbanî,sq,албанча,sq,Albanesch,sq,Albanian Iyápi,sq,ອານບານຽນ,آلبانی,albanų,sq,sq,sq,albāņu,sq,sq,sq,sq,sq,sq,sq,sq,албански,അൽബേനിയൻ,албани,sq,अल्बानियन,Albania,Albaniż,sq,အယ်လ်ဘေးနီးယား,آلبانیایی,sq,albansk,sq,अल्बानियाली,Albanees,sq,albansk,sq,albansk,sq,sq,Afaan Albaniyaa,ଆଲବାନିଆନ୍,sq,ਅਲਬਾਨੀਆਈ,Albéniá Lángwej,albański,الباني,albanês,Albanes Simi,albanais,sq,albaneză,sq,албанский,Icyalubaniya,sq,sq,Албаанныы,sq,sq,sq,albanesu,الباني,albánagiella,sq,sq,sq,sq,ඇල්බේනියානු,albánčina,albanščina,albaniakielâ,sq,Albeeniyaan,shqip,албански,sq,albanska,Kialbania,அல்பேனியன்,అల్బేనియన్,sq,албанӣ,แอลเบเนีย,ኣልባንኛ,alban dili,lea fakaʻalapēnia,Arnavutça,албан,sq,sq,ئالبانچە,албанська,البانی,alban,sq,Tiếng Albania,sq,Albaniš,Albane,sq,sq,sq,אַלבאַניש,Èdè Albania,阿爾巴尼亞文,sq,阿尔巴尼亚语,isi-Albania
sr,Serwies,sr,sr,ሰርብያኛ,الصربية,ছাৰ্বিয়ান,sr,serbiu,serb,sr,сербская,sr,sr,сръбски,sr,সার্বীয়,sr,serbeg,सर्बियन्,srpski,serbi,𑄥𑄢𑄴𑄝𑄩𑄠𑄧,сербийн,sr,sr,ᏒᏈᎠᏂ,سربی,srbština,Serbeg,serbisk,sr,Serbisch,sr,sr,serbišćina,sr,sr,སཱར་བྷི་ཡཱན་ཁ,sr,serbiagbe,Σερβικά,Serbian,serba,serbio,serbia,serbiera,sr,صربی,sr,serbia,Serbian,serbiskt,serbe,serp,Servysk,Seirbis,Sèirbis,serbio,Serbisch,સર્બિયન,sr,sr,Sabiyan,sr,סרבית,सर्बियाई,srpski,serbišćina,szerb,սերբերեն,serbo,Serbia,Sebịan,sr,serbneska,serbo,セルビア語,sr,sr,Serbia,სერბული,sr,sr,sr,sérviu,sr,sr,серб тілі,sr,sr,sr,ស៊ែប,ಸೆರ್ಬಿಯನ್,세르비아어,सर्बियन,سٔربِیَن,sr,sr,Särbesch,sirbî,sr,сербче,sr,Serbesch,sr,Serbia Iyápi,sr,ເຊີບຽນ,سئربی,serbų,sr,sr,sr,serbu,sr,sr,sr,sr,sr,sr,sr,sr,српски,സെർബിയൻ,серб,sr,सर्बियन,Serbia,Serb,sr,ဆားဘီးယား,صربی,sr,serbisk,sr,सर्बियाली,Servisch,sr,serbisk,sr,serbisk,sr,sr,Afaan Serbiya,ସର୍ବିୟ,sr,ਸਰਬੀਆਈ,Sẹrbiá Lángwej,serbski,سربيائي,sérvio,Serbio Simi,serb,sr,sârbă,sr,сербский,Igiseribe,sr,sr,sr,sr,sr,sr,serbu,سربيائي,serbiagiella,sr,sr,sr,sr,සර්බියානු,srbčina,srbščina,serbiakielâ,sr,Seerbiyaan,serbisht,српски,sr,serbiska,Kiserbia,செர்பியன்,సెర్బియన్,sr,сербӣ,เซอร์เบีย,ሰርብኛ,serb dili,lea fakasēpia,Sırpça,серб,sr,sr,سېربچە,сербська,سربین,serbcha,sr,Tiếng Serbia,sr,Serbiš,Serb,sr,sr,sr,סערביש,Èdè Serbia,塞爾維亞文,sr,塞尔维亚语,isi-Serbian
su,Sundanees,su,su,ሱዳንኛ,السوندانية,ছুণ্ডানীজ,su,sondanés,sundan,su,сунда,su,su,сундански,su,সুদানী,su,sundaneg,सुन्दानी,sundanski,sondanès,𑄥𑄪𑄘𑄚𑄩,сунданхойн,su,su,ᏑᏂᏓᏂᏏ,سوندانی,sundština,Swndaneg,sundanesisk,su,Sundanesisch,su,su,sundanšćina,su,su,སཱུན་ད་ནིས་ཁ,su,su,Σουνδανικά,Sundanese,sunda,sundanés,sunda,sundanera,su,سوندایی,su,sunda,Sundanese,sundanesiskt,soundanais,sundanês,Soendaneesk,Sundais,Cànan Sunda,sundanés,Sundanesisch,સંડેનીઝ,su,su,Harshen Sundanese,su,סונדנזית,सुंडानी,sundanski,sundanezišćina,szundanéz,սունդաներեն,sundanese,Sunda,su,su,súndanska,sundanese,スンダ語,su,su,Sunda,სუნდური,su,su,su,sundanes,su,su,сундан тілі,su,su,su,ស៊ូដង់,ಸುಂಡಾನೀಸ್,순다어,सुंदनीस,سَنڈَنیٖز,su,su,Sindanehsesch,sundanî,su,сунданча,su,Sundanesesch,su,Sundanese Iyápi,su,ຊຸນແດນນີສ,سوٙدانی,sundų,su,su,su,zundu,su,su,su,su,su,su,su,su,сундски,സുണ്ടാനീസ്,сундан,su,सुंदानीज,Sunda,Sundaniż,su,ဆူဒန်,سوندانسی,su,sundanesisk,su,सुडानी,Soendanees,su,sundanesisk,su,sundanesisk,su,su,Afaan Sudaanii,ସୁଦାନୀଜ୍,su,ਸੂੰਡਾਨੀ,Sọ́ndaniz,sundajski,سوډاني,sundanês,Sundanés Simi,sundanais,su,sundaneză,su,сунданский,Inyesudani,su,su,su,su,su,su,sundanesu,سوڊاني,su,su,su,su,su,සන්ඩනීසියානු,sundčina,sundanščina,sundakielâ,su,Suudaaniis,sundanisht,сундански,Basa Sunda,sundanesiska,Kisunda,சுண்டானீஸ்,సండానీస్,su,su,ซุนดา,ሱንዳንኛ,sundan dili,lea fakasunitā,Sunda dili,su,su,su,سۇنداچە,сунданська,سنڈانیز,sundan,su,Tiếng Sunda,su,Sundanesiš,su,su,su,su,su,Èdè Sudanísì,巽他文,su,巽他语,isi-Sundanese
sv,Sweeds,Suedìs,Sweden kasa,ስዊድንኛ,السويدية,ছুইডিচ,Kithwidi,suecu,isveç,Hɔp u suɛ᷆d,шведская,Ichi Swideni,Hiswidi,шведски,suwɛdikan,সুইডিশ,sv,svedeg,स्वीडिश,švedski,suec,𑄥𑄭𑄪𑄓𑄨𑄥𑄴,шведийн,sv,Oruswidi,ᏍᏫᏗᏏ,سویدی,švédština,Swedeg,svensk,Kiswidi,Schwedisch,Suweede senni,sv,šwedšćina,sv,suedi,སུའི་ཌིཤ་ཁ,Kĩswidi,swedengbe,Σουηδικά,Swedish,sveda,sueco,rootsi,suediera,ǹkɔ́bɔ suwɛ́d,سوئدی,Sweedeere,ruotsi,Swedish,svenskt,suédois,svedês,Zweeds,Sualainnis,Suainis,sueco,Schwedisch,સ્વીડિશ,Kiswidi,sv,Harshen Suwedan,Kuekene,שוודית,स्वीडिश,švedski,šwedšćina,svéd,շվեդերեն,svedese,Swedia,Sụwidiishi,sv,sænska,svedese,スウェーデン語,sv,Kyiswidi,Swedia,შვედური,Taswidit,Kiswidi,Chiswidi,sueku,Suweede senni,Kiswidi,швед тілі,sv,sv,kutitab Sweden,ស៊ុយអែត,ಸ್ವೀಡಿಷ್,스웨덴어,स्विडीश,سویٖڈِش,Kiswidi,riswɛ́dǝ,Schwehdesch,swêdî,sv,шведче,Kɨswíidi,Schwedesch,Luswideni,Swedish Iyápi,lisuwedɛ,ສະວີດິຊ,سوٙئدی,švedų,Lisuwidi,Kiswidi,Kiswidi,zviedru,sv,nkʉtʉ́k ɔ́ɔ̄ lswidi,Kĩswideni,swedwa,Soisa,Iswidi,sv,sv,шведски,സ്വീഡിഷ്,швед,sv,स्वीडिश,Sweden,Żvediż,Swedia,ဆွီဒင်,سوئدی,Swedeǁî gowab,svensk,isi-Swidishi,स्विडिस,Zweeds,Kiɛl bó suedois,svensk,sv,svensk,Thok i̱thwidicni,Oruswidi,Afaan Suwidiin,ସ୍ୱେଡିସ୍,sv,ਸਵੀਡਿਸ਼,Suwídẹ́n Lángwej,szwedzki,سویډنی,sueco,Sueco Simi,svedais,Igisuweduwa,suedeză,Kiswidi,шведский,Igisuweduwa,Kyiswidi,sv,sv,Kiswidi,sv,Ishiswidi,isvedesu,سويڊش,ruoŧagiella,sueco,Suweede senni,Sueduäa,ⵜⴰⵙⵡⵉⴷⵉⵜ,ස්වීඩන්,švédčina,švedščina,ruotâkielâ,chiSwedish,Iswiidhish,suedisht,шведски,sv,svenska,Kiswidi,ஸ்வீடிஷ்,స్వీడిష్,Kiswidi,шведӣ,สวีเดน,ስዊድንኛ,şwed dili,lea fakasuēteni,İsveççe,швед,Suweede senni,Taswidit,شىۋېدچە,шведська,سویڈش,shved,ꖬꔨꗵꘋ,Tiếng Thụy Điển,Kyiswidi,Schwediš,Suweduwaa,sv,Oluswideni,nusuetua,שוועדיש,Èdè Suwidiisi,瑞典文,ⵜⴰⵙⵡⵉⴷⵉⵜ,瑞典语,isi-Swedish
sw,Swahili,sw,sw,ስዋሂሊኛ,السواحلية,স্বাহিলি,sw,suaḥili,suahili,sw,суахілі,sw,sw,суахили,sw,সোয়াহিলি,sw,swahili,स्वाहिली,svahili,suahili,𑄥𑄱𑄦𑄨𑄣𑄨,суахили,sw,sw,ᏍᏩᎯᎵ,سواهیلی,svahilština,Swahili,swahili,sw,Suaheli,sw,sw,swahilišćina,sw,sw,སྭཱ་ཧི་ལི་ཁ,sw,swahili,Σουαχίλι,Swahili,svahila,suajili,suahiili,swahilia,sw,سواحیلی,sw,swahili,Swahili,swahili,swahili,swahili,Swahili,Svahaílis,Kiswahili,suahili,Suaheli,સ્વાહિલી,sw,sw,Harshen Suwahili,sw,סווהילי,स्वाहिली,svahili,suahelšćina,szuahéli,սուահիլի,swahili,Swahili,sw,sw,svahílí,swahili,スワヒリ語,sw,sw,Swahili,სუაჰილი,sw,sw,sw,suaíli,sw,sw,суахили тілі,sw,sw,sw,ស្វាហ៊ីលី,ಸ್ವಹಿಲಿ,스와힐리어,स्वाहिली,سواہِلی,sw,sw,Suahehlesch,swahîlî,sw,суахиличе,sw,Suaheli,sw,Swahili Iyápi,sw,ຊວາຮີລິ,سأڤاحیلی,suahilių,sw,sw,sw,svahili,sw,sw,sw,sw,sw,sw,sw,sw,свахили,സ്വാഹിലി,свахили,sw,स्वाहिली,Swahili,Swahili,sw,ဆွာဟီလီ,سواحیلی,sw,swahili,sw,स्वाहिली,Swahili,sw,swahili,sw,swahili,sw,sw,Suwahilii,ସ୍ୱାହିଲ୍,sw,ਸਵਾਹਿਲੀ,Swahíli,suahili,سواهېلي,suaíli,Suajili Simi,suahili,sw,swahili,sw,суахили,Igiswahili,sw,sw,sw,sw,sw,sw,swahili,سواحيلي,sw,sw,sw,sw,sw,ස්වාහිලි,swahilčina,svahili,swahilikielâ,sw,Sawaaxili,suahilisht,свахили,sw,swahili,Kiswahili,ஸ்வாஹிலி,స్వాహిలి,sw,sw,สวาฮีลี,ስዋሂሊ,suahili dili,lea fakasuahili,Svahili dili,sw,sw,sw,سىۋاھىلچە,суахілі,سواحلی,suaxili,sw,Tiếng Swahili,sw,Suaheliš,sw,sw,sw,sw,סוואַהיליש,Èdè Swahili,史瓦希里文,sw,斯瓦希里语,isiSwahili
ta,Tamil,Tamì,Tamil kasa,ታሚልኛ,التاميلية,তামিল,Kitamil,tamil,tamil,Hɔp u tamu᷆l,тамільская,Ichi Tamil,Hitamil,тамилски,tamulikan,তামিল,ta,tamileg,तमिळ,tamilski,tàmil,𑄖𑄟𑄨𑄣𑄴,тамилхойн,ta,Orutamiri,ᏔᎻᎵ,تامیلی,tamilština,Tamileg,tamil,Kitamil,Tamil,Tamil senni,ta,tamilšćina,ta,tamil,ཏ་མིལ་ཁ,Kĩtamil,tamilgbe,Ταμιλικά,Tamil,tamila,tamil,tamili,tamilera,ǹkɔ́bɔ tamíl,تامیلی,Tamil,tamili,Tamil,tamilskt,tamoul,tamil,Tamil,Tamailis,Taimilis,támil,Tamilisch,તમિલ,Kitamil,ta,Tamil,ta,טמילית,तमिल,tamilski,tamilšćina,tamil,թամիլերեն,tamil,Tamil,Tamil,ta,tamílska,tamil,タミル語,ta,Kyitamil,Tamil,ტამილური,Taṭamulit,Kitamil,Chitamil,tamil,Tamil senni,Kitamil,тамил тілі,ta,ta,kutitab Tamil,តាមីល,ತಮಿಳು,타밀어,तमिळ,تَمِل,Kitamil,ritamúl,Tamihlesch,tamîlî,ta,тамилче,Kɨtamíili,Tamilesch,Lutamiiru,Tamil Iyápi,litamuli,ທາມິລ,تامیل,tamilų,Mtamuili,Kitamil,Kitamil,tamilu,ta,nkʉtʉ́k ɔ́ɔ̄ ltamil,Kĩtamilu,tamoul,Tamoila,Itamil,ta,ta,тамилски,തമിഴ്,тамил,ta,तामिळ,Tamil,Tamil,Tamul,တမီးလ်,تامیلی,Tamilǁî gowab,tamil,isi-Thamil,तामिल,Tamil,Kiɛl tamul,tamil,ta,tamil,Thok tamilni,Orutamiri,Afaan Tamilii,ତାମିଲ୍,ta,ਤਮਿਲ,tàmil,tamilski,تامل,tâmil,Tamil Simi,tamil,Igitamili,tamilă,Kitamil,тамильский,Igitamili,Kyitamil,ta,Тамыллыы,Kitamil,ta,Ishitamili,tamil,تامل,ta,tâmil,Tamil senni,Tämûli,ⵜⴰⵜⴰⵎⵉⵍⵜ,දෙමළ,tamilčina,tamilščina,tamilkielâ,chiTamil,Tamiil,tamilisht,тамилски,ta,tamil,Kitamili,தமிழ்,తమిళము,Kitamil,тамилӣ,ทมิฬ,ታሚል,tamil dili,lea fakatamili,Tamilce,тамил,Tamil senni,Tatamilt,تامىلچە,тамільська,تمل,tamil,ꕚꕆꔷ,Tiếng Tamil,Kyitamil,Tamiliš,Tamil,ta,Olutamiiru,nutámule,טאַמיל,Èdè Tamili,坦米爾文,ⵜⴰⵜⴰⵎⵉⵍⵜ,泰米尔语,isi-Tamil
te,Teloegoe,te,te,ተሉጉኛ,التيلوغوية,তেলুগু,te,telugu,teluqu,te,тэлугу,te,te,телугу,te,তেলুগু,te,telougou,तेलुगु,telugu,telugu,𑄖𑄬𑄣𑄬𑄉𑄪,телугу,te,te,ᏖᎷᎦ,تێلووگوو,telugština,Telugu,telugu,te,Telugu,te,te,telugšćina,te,te,ཏེ་ལུ་གུ་ཁ,te,telegugbe,Τελούγκου,Telugu,telugua,telugu,telugu,telugu,te,تلوگویی,te,telugu,Telugu,telugu,télougou,telegu,Telugu,Teileagúis,Telugu,telugu,Telugu,તેલુગુ,te,te,Telugu,te,טלוגו,तेलुगू,teluški,telugu,telugu,թելուգու,telugu,Telugu,Telụgụ,te,telúgú,telugu,テルグ語,te,te,Telugu,ტელუგუ,te,te,te,telugu,te,te,телугу тілі,te,te,te,តេលុគុ,ತೆಲುಗು,텔루구어,तेलुगू,تیلگوٗ,te,te,Telluhju,telûgûyî,te,телугуча,te,Telugu,te,Telugu Iyápi,te,ເຕລູກູ,تئلئگو,telugų,te,te,te,telugu,te,te,te,te,te,te,te,te,телугу,തെലുങ്ക്,тэлүгү,te,तेलगू,Telugu,Telugu,te,တီလီဂူ,تلوگویی,te,telugu,te,तेलुगु,Telugu,te,telugu,te,telugu,te,te,Afaan Telugu,ତେଲୁଗୁ,te,ਤੇਲਗੂ,Tẹlugu,telugu,تېليګو,télugo,Telugu Simi,telugu,te,telugu,te,телугу,Igitelugu,te,te,Төлүгүлүү,te,te,te,telugu,تلگو,te,te,te,te,te,තෙළිඟු,telugčina,telugijščina,telugu,te,Teluugu,teluguisht,телугу,te,telugu,Kitelugu,தெலுங்கு,తెలుగు,te,телугу,เตลูกู,ተሉጉ,telugu dili,lea fakaʻinitia-teluku,Telugu dili,телугу,te,te,تېلۇگۇچە,телугу,تیلگو,telugu,te,Tiếng Telugu,te,Telugu,Telugu,te,te,te,te,Èdè Telugu,泰盧固文,te,泰卢固语,isi-Telugu
